neighborhood,month,theft_count,lon,lat,time_index,month_of_year,year
Scarborough Village (139),2014-02-01,0,-79.2168126191311,43.73865184898304,2,2,2014
South Parkdale (85),2014-02-01,1,-79.4393378322998,43.636699519318434,2,2,2014
South Riverdale (70),2014-02-01,0,-79.33565132290826,43.6492919996662,2,2,2014
St.Andrew-Windfields (40),2014-02-01,0,-79.37903710013872,43.75624582245125,2,2,2014
Steeles (116),2014-02-01,0,-79.32120701072853,43.81295881783217,2,2,2014
Stonegate-Queensway (16),2014-02-01,0,-79.50112821107008,43.63551811593917,2,2,2014
Tam O'Shanter-Sullivan (118),2014-02-01,0,-79.30291871972979,43.78012984045799,2,2,2014
Taylor-Massey (61),2014-02-01,0,-79.2959011185942,43.69499818569401,2,2,2014
The Beaches (63),2014-02-01,0,-79.29960131609589,43.67104998326742,2,2,2014
Thistletown-Beaumond Heights (3),2014-02-01,0,-79.56349101320373,43.737987910453754,2,2,2014
Thorncliffe Park (55),2014-02-01,1,-79.34998360500312,43.70774920521462,2,2,2014
Trinity-Bellwoods (81),2014-02-01,1,-79.4153421638998,43.65017629672643,2,2,2014
University (79),2014-02-01,1,-79.40117974868369,43.66250619981047,2,2,2014
Victoria Village (43),2014-02-01,0,-79.31487382056616,43.72848900069367,2,2,2014
Waterfront Communities-The Island (77),2014-02-01,0,-79.3772023229936,43.63388032715952,2,2,2014
West Hill (136),2014-02-01,0,-79.17667602852293,43.767490240825325,2,2,2014
West Humber-Clairville (1),2014-02-01,0,-79.59635638981665,43.71618025578886,2,2,2014
Westminster-Branson (35),2014-02-01,0,-79.45241822037676,43.77881319903913,2,2,2014
Weston (113),2014-02-01,1,-79.51572254704779,43.70271604054647,2,2,2014
Weston-Pellam Park (91),2014-02-01,0,-79.46024390773562,43.673962032485946,2,2,2014
Wexford/Maryvale (119),2014-02-01,0,-79.29863655575355,43.7485720898956,2,2,2014
Willowdale East (51),2014-02-01,1,-79.40148379055928,43.770602244553096,2,2,2014
Willowdale West (37),2014-02-01,0,-79.42755780279825,43.77121048659164,2,2,2014
Willowridge-Martingrove-Richview (7),2014-02-01,0,-79.55422105562268,43.68364495301322,2,2,2014
Woburn (137),2014-02-01,0,-79.22858575507915,43.76674020159054,2,2,2014
Woodbine Corridor (64),2014-02-01,0,-79.31540737735443,43.67677291736932,2,2,2014
Woodbine-Lumsden (60),2014-02-01,0,-79.31116352540957,43.69410673833721,2,2,2014
Wychwood (94),2014-02-01,0,-79.42551494769461,43.67691926447834,2,2,2014
Yonge-Eglinton (100),2014-02-01,0,-79.40359016622641,43.70468936092784,2,2,2014
Yonge-St.Clair (97),2014-02-01,0,-79.39787076624125,43.68785886372433,2,2,2014
York University Heights (27),2014-02-01,0,-79.48888293166782,43.76573645429017,2,2,2014
Yorkdale-Glen Park (31),2014-02-01,0,-79.45710807275005,43.71467151108852,2,2,2014
Agincourt North (129),2014-03-01,0,-79.26671216328295,43.805440562864696,3,3,2014
Agincourt South-Malvern West (128),2014-03-01,0,-79.2656118002269,43.788657536163946,3,3,2014
Alderwood (20),2014-03-01,0,-79.54161093042093,43.60493688403101,3,3,2014
Annex (95),2014-03-01,3,-79.40400062928025,43.67158543003155,3,3,2014
Banbury-Don Mills (42),2014-03-01,0,-79.34971796126571,43.73765697400432,3,3,2014
Bathurst Manor (34),2014-03-01,0,-79.45605514611319,43.76481328101867,3,3,2014
Bay Street Corridor (76),2014-03-01,6,-79.38572124534863,43.657511330997565,3,3,2014
Bayview Village (52),2014-03-01,0,-79.37711685879394,43.776360508669505,3,3,2014
Bayview Woods-Steeles (49),2014-03-01,0,-79.3821179554524,43.796801856085374,3,3,2014
Bedford Park-Nortown (39),2014-03-01,0,-79.42022735886505,43.73148619626069,3,3,2014
Beechborough-Greenbrook (112),2014-03-01,0,-79.47947250865478,43.69321648359968,3,3,2014
Bendale (127),2014-03-01,0,-79.25740036192514,43.760366271465735,3,3,2014
Birchcliffe-Cliffside (122),2014-03-01,1,-79.26509262187423,43.69468193885,3,3,2014
Black Creek (24),2014-03-01,0,-79.52197931718258,43.76489023887292,3,3,2014
Blake-Jones (69),2014-03-01,0,-79.3373941737337,43.676172877463664,3,3,2014
Briar Hill-Belgravia (108),2014-03-01,2,-79.45285129984684,43.69902437760449,3,3,2014
Bridle Path-Sunnybrook-York Mills (41),2014-03-01,0,-79.37890416227515,43.73101311194996,3,3,2014
Broadview North (57),2014-03-01,0,-79.35562951364216,43.68882511190598,3,3,2014
Brookhaven-Amesbury (30),2014-03-01,0,-79.48558926457817,43.70132629947939,3,3,2014
Cabbagetown-South St.James Town (71),2014-03-01,3,-79.36610665903528,43.66764772385686,3,3,2014
Caledonia-Fairbank (109),2014-03-01,0,-79.4552120795635,43.688568647155336,3,3,2014
Casa Loma (96),2014-03-01,0,-79.40800664807479,43.68185209508544,3,3,2014
Centennial Scarborough (133),2014-03-01,0,-79.15084326996072,43.78237648034414,3,3,2014
Church-Yonge Corridor (75),2014-03-01,9,-79.37901716162628,43.65964884944928,3,3,2014
Clairlea-Birchmount (120),2014-03-01,0,-79.28138177798613,43.71359235501493,3,3,2014
Clanton Park (33),2014-03-01,0,-79.44630257728986,43.741978417593174,3,3,2014
Cliffcrest (123),2014-03-01,0,-79.23552957479994,43.721121141067144,3,3,2014
Corso Italia-Davenport (92),2014-03-01,0,-79.44746932943953,43.67766090308253,3,3,2014
Danforth (66),2014-03-01,0,-79.32981941388597,43.68402547142561,3,3,2014
Danforth East York (59),2014-03-01,0,-79.33140338933542,43.68946809019784,3,3,2014
Don Valley Village (47),2014-03-01,1,-79.35364413195393,43.783293676309825,3,3,2014
