task_horizon,fold,train_end,test_start,test_end,model,MAE,RMSE,R2,total_bias,total_actual,total_predicted,nonzero_MAE,nonzero_RMSE,active_MAE,active_RMSE,n_test
12,6,120,121,132,"Poisson (area, tuned)",1.2923017077540864,2.2367863736985223,0.6392718782286209,0.4897014916680448,2719,4050.4983558454137,1.6671184021700398,2.9915566363526946,1.7806960888380974,2.9586132647293035,1692
12,6,120,121,132,Negative-binomial,3.864009292547614,8.164882592642497,-3.8065213092503543,2.1710489638273507,2719,8622.082132646567,5.943600966307656,11.317729316172615,5.8899261971242165,11.049447465506784,1692
1,1,120,121,121,Global mean,1.9359966802474724,2.491629793572451,-0.39209134127360046,1.7757142857142845,105,291.4499999999999,1.593316966721222,3.357181484492587,1.9359966802474724,2.491629793572451,141
1,1,120,121,121,Neighbourhood mean,1.4117021276595745,2.6983658189701787,-0.6326848217575365,1.7757142857142862,105,291.45000000000005,2.8600427350427347,4.765572949951615,1.4117021276595745,2.6983658189701787,141
1,1,120,121,121,Recent 12-mo mean,1.1991725768321513,2.6077735069431514,-0.5248967520846981,1.3706349206349202,105,248.91666666666663,2.3952991452991452,4.68827035455283,1.1991725768321513,2.6077735069431514,141
1,1,120,121,121,Seasonal naive,0.6879432624113473,1.7073059529625252,0.34638289233267894,-0.14285714285714285,105,90,1.9487179487179485,3.0884399845976507,0.6879432624113473,1.7073059529625252,141
1,1,120,121,121,Basis OLS (log),0.5176171286370267,1.102821157025436,0.7272838356721385,0.07778880899051127,105,113.16782494400368,1.3911705213832175,2.00003180552885,0.5176171286370267,1.102821157025436,141
1,1,120,121,121,Basis Ridge (tuned),0.5182538702597781,1.102786952135369,0.7273007524345703,0.07243934673919165,105,112.60613140761512,1.3866776773492686,1.9989539995372232,0.5182538702597781,1.102786952135369,141
1,1,120,121,121,Poisson (compact),0.6900744488969205,1.6610502924023536,0.3813197311474361,-0.1912876571952897,105,84.91479599449458,1.6128643387313262,3.0479106735531056,0.6900744488969205,1.6610502924023536,141
1,1,120,121,121,"Poisson (area, tuned)",0.6659196127031767,1.0645954003240465,0.745861845128445,0.3132764378837405,105,137.89402597779275,1.1537861601754735,1.79997905277599,0.6659196127031767,1.0645954003240465,141
1,1,120,121,121,Negative-binomial,0.7126643176800388,1.5522401197081692,0.4597204743033758,-0.07356278910215021,105,97.27590714427423,1.6230420306699642,2.8235289886624395,0.7126643176800388,1.5522401197081692,141
1,2,121,122,122,Global mean,1.8503504945333826,2.2746135360757505,-0.4444831432116152,1.5884740259740302,112,289.9090909090914,1.4388657969463765,2.6583010842899286,1.8503504945333826,2.2746135360757505,141
1,2,121,122,122,Neighbourhood mean,1.4438192368559875,2.7270618003629896,-1.0762861142884983,1.5884740259740247,112,289.90909090909076,2.4868999472481095,4.3220027047188525,1.4438192368559875,2.7270618003629896,141
1,2,121,122,122,Recent 12-mo mean,1.2387706855791962,2.3909016206225773,-0.5959550390862738,1.2336309523809519,112,250.1666666666666,2.223404255319149,3.894174894473417,1.2387706855791962,2.3909016206225773,141
1,2,121,122,122,Seasonal naive,0.7588652482269505,1.3709240037702581,0.47528437017272773,-0.08035714285714286,112,103,1.7659574468085106,2.148725500522518,0.7588652482269505,1.3709240037702581,141
1,2,121,122,122,Basis OLS (log),0.5840619007918529,0.9725870431582638,0.7359086365796809,0.07371424870221853,112,120.25599585464848,1.265194684967009,1.5123264536664176,0.5840619007918529,0.9725870431582638,141
1,2,121,122,122,Basis Ridge (tuned),0.5766505635941152,0.955383198033111,0.745168894647879,0.06219105988670342,112,118.96539870731078,1.2453253909109325,1.4819001460825192,0.5766505635941152,0.955383198033111,141
1,2,121,122,122,Poisson (compact),0.7322576846915758,1.3546599460985473,0.48766052427332707,-0.15249769540063746,112,94.9202581151286,1.4668976383224839,2.21544256071852,0.7322576846915758,1.3546599460985473,141
1,2,121,122,122,"Poisson (area, tuned)",0.6553211574822178,0.8724666085496117,0.787482416785561,0.20177337353844976,112,134.59861783630637,0.9989918786867243,1.2423513506380741,0.6553211574822178,0.8724666085496117,141
1,2,121,122,122,Negative-binomial,0.7276053827185152,1.2513149691696546,0.5628499630351773,-0.054156904721996364,112,105.93442667113641,1.404639817734381,2.0254503385786715,0.7276053827185152,1.2513149691696546,141
1,3,122,123,123,Global mean,1.9354276799415537,2.300765029072068,-0.32384604927869143,1.2535220286885194,128,288.4508196721305,1.7075870854248496,2.7536625704115694,1.9354276799415537,2.300765029072068,141
1,3,122,123,123,Neighbourhood mean,1.3904778514126264,2.5793800234210846,-0.6638861722495943,1.2535220286885251,128,288.4508196721312,2.5276193870277974,4.218925309438911,1.3904778514126264,2.5793800234210846,141
1,3,122,123,123,Recent 12-mo mean,1.142434988179669,2.323910812772521,-0.35061591149240656,0.9602864583333333,128,250.91666666666666,2.1340579710144927,3.8982375554405793,1.142434988179669,2.323910812772521,141
1,3,122,123,123,Seasonal naive,0.7446808510638298,1.5551333435792756,0.3951771158297259,-0.2421875,128,97,1.9130434782608698,2.61267811957802,0.7446808510638298,1.5551333435792756,141
1,3,122,123,123,Basis OLS (log),0.6468656423681924,1.177335433232993,0.6533482650830319,0.21950002255366452,128,156.09600288686906,1.2810389344886017,1.9098810375760318,0.6468656423681924,1.177335433232993,141
1,3,122,123,123,Basis Ridge (tuned),0.6323524142158696,1.140733254767051,0.6745673271615751,0.19942523982022964,128,153.5264306969894,1.2472668687362347,1.8454766950022554,0.6323524142158696,1.140733254767051,141
1,3,122,123,123,Poisson (compact),0.852763785945261,1.309714467774005,0.5710109583442375,0.22495135158772794,128,156.79377300322918,1.4257291791814959,1.960305939914977,0.852763785945261,1.309714467774005,141
1,3,122,123,123,"Poisson (area, tuned)",0.6853059421795814,0.9524043089426786,0.77315163591003,0.25027101898728343,128,160.03469043037228,0.9919428546689217,1.4020026502207454,0.6853059421795814,0.9524043089426786,141
1,3,122,123,123,Negative-binomial,0.8845256413209881,1.3629860053202576,0.5354037053091427,0.3346287107018102,128,170.8324749698317,1.4570647790458187,2.031026498262309,0.8845256413209881,1.3629860053202576,141
1,4,123,124,124,Global mean,2.1330452779403304,3.382523554384395,-0.03536571800100585,0.4429464395146443,199,287.1463414634142,2.267228413358782,4.64532894614528,2.1330452779403304,3.382523554384395,141
1,4,123,124,124,Neighbourhood mean,1.0704030444559764,1.6195714983120304,0.7626373551231498,0.4429464395146466,199,287.14634146341467,1.4441229158054294,2.161111754856606,1.0704030444559764,1.6195714983120304,141
1,4,123,124,124,Recent 12-mo mean,0.9633569739952719,1.4673690022656491,0.8051543103108207,0.27386934673366775,199,253.4999999999999,1.3531073446327684,2.0127302011257098,0.9633569739952719,1.4673690022656491,141
1,4,123,124,124,Seasonal naive,0.9078014184397165,1.6885093514065102,0.7420003823430347,-0.21105527638190955,199,157,1.6949152542372883,2.4425604792748232,0.9078014184397165,1.6885093514065102,141
1,4,123,124,124,Basis OLS (log),0.8274235793781084,1.227479616919766,0.8636545341328303,0.06343459642567478,199,211.62348468870928,1.193699852793925,1.6819927086134934,0.8274235793781084,1.227479616919766,141
